,"Ford, Kevin B.","Tyson, Jeremy T.","Hirani, Anil N.","Katz, Sheldon H.","Albin, Pierre","Dunfield, Nathan M.","Kostochka, Alexandr V.","Kedem, Rinat","Song, Renming","Dodd, Christopher","Duursma, Iwan Maynard","McCarthy, Randy","Rezk, Charles W.","Fernandes, Rui Loja","Mineyev, Igor","Dutta, Sankar Prasad","Yong, Alexander T. F.","Tolman, Susan","Erdoğan, Mehmet Burak","Junge, Marius","Hur, Vera Mikyoung","Stojanoska, Vesna","Ahlgren, Scott D.","Bradlow, Steven Benjamin","Rapti, Zoi","Sowers, Richard B.","Balogh, József","Kutzarova, Denka N.","Zaharescu, Alexandru","La Nave, Gabriele","Berwick-Evans, Daniel","DeVille, R. E. Lee","Boca, Florin-Petre","Thorner, Jesse","Zharnitsky, Vadim","Lerman, Eugene M.","Reznick, Bruce","Dey, Partha Sarathi","Hinkkanen, Aimo","Nikolaev, Igor G.","Pascaleff, James Thomas","Bronski, Jared C.","Feng, Runhuan","Haboush, William J.","Baryshnikov, Yuliy M.","Kirr, Eduard","Oikhberg, Timur","Leditzky, Felix","Kirkpatrick, Kay Lene","Tzirakis, Nikolaos","Kerman, Ely","Di Francesco, Philippe","Laugesen, Richard Snyder","Heller, Jeremiah Ben","Guzman, Rosemary K.","Jing, Xiaochen","Liu, Yuan","Quan, Zhiyu","Fadina, Tolulope","Rasmussen, Jacob","Rasmussen, Sarah Dean","Janda, Felix","Cooney, Daniel B","Hung, Pei-Ken","Young, Amanda","Wu, Xuan"
"Berwick-Evans, Daniel",0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DeVille, R. E. Lee",1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,25.0,14.0,6.0,0.0,2.0,0.0,0.0,554.0,1.0,0.0,8.0,68.0,1.0,4.0,4.0,0.0,0.0,132.0,2.0,0.0,9.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
"Boca, Florin-Petre",20.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,197.0,0.0,0.0,1.0,408.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Thorner, Jesse",47.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,2.0,88.0,0.0,0.0,0.0,7.0,378.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zharnitsky, Vadim",1.0,4.0,26.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,58.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,298.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,39.0,6.0,0.0,0.0,3.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Lerman, Eugene M.",0.0,8.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,38.0,2.0,0.0,4.0,73.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,7.0,19.0,68.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
"Reznick, Bruce",6.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,15.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,305.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dey, Partha Sarathi",3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"Hinkkanen, Aimo",1.0,26.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nikolaev, Igor G.",0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
