,Kevin Ford,Jeremy Tyson,Anil  Hirani,Sheldon Katz H.,Pierre Albin,Nathan M.  Dunfield,Alexandr  Kostochka,Rinat Kedem,Renming Song,Christopher  Dodd,Iwan M. Duursma,Randy McCarthy,Charles  Rezk,Rui Loja Fernandes,Igor Mineyev,Sankar P. Dutta,Alexander  Yong,Susan Tolman,M. Burak  Erdoğan,Marius Junge,Vera Mikyoung Hur,Vesna Stojanoska,Scott  Ahlgren,Steven  Bradlow,Zoi Rapti,Richard B. Sowers,Jozsef Balogh,Denka  Kutzarova,Alexandru Zaharescu,Gabriele La Nave,Matthew Ando,Daniel Berwick-Evans,Lee DeVille,Florin P. Boca,Jesse Thorner,Vadim Zharnitsky,Eugene M.  Lerman,Bruce  Reznick,Partha Sarathi Dey,Aimo  Hinkkanen,Igor G. Nikolaev,James Pascaleff,Jared  Bronski,Runhuan Feng,William  Haboush,Yuliy Baryshnikov,Eduard-Wilhelm Kirr,Timur Oikhberg,Felix Leditzky,Kay  Kirkpatrick,Xiaochen Jing,Nikolaos Tzirakis,Ely Kerman,Philippe Di Francesco,Richard S. Laugesen,Jeremiah  Heller,Rosemary Guzman
Randy McCarthy,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Charles  Rezk,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
Rui Loja Fernandes,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,5.0,4.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,7.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0
Igor Mineyev,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sankar P. Dutta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alexander  Yong,5.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,29.0,5.0,6.0,5.0,2.0,4.0,3.0,1.0,0.0,0.0,5.0,2.0,8.0,3.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,5.0,0.0
Susan Tolman,2.0,1.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,5.0,11.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0
M. Burak  Erdoğan,2.0,6.0,0.0,4.0,3.0,2.0,1.0,2.0,5.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,3.0,30.0,5.0,6.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,18.0,0.0,2.0,5.0,2.0,0.0
Marius Junge,5.0,4.0,0.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,5.0,4.0,5.0,29.0,3.0,3.0,5.0,1.0,0.0,0.0,6.0,3.0,8.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0
Vera Mikyoung Hur,4.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,3.0,20.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0
